Collier;Bat;Programmation;Alpage;Espece;Race;Eleveur;Age;Periode_echantillonnage;proportion_jour_allume;date_pose;date_retrait;Column1;La.periode.doit.être.indiquée.en.secondes
C02;B31;brebis;Viso;brebis;Merinos;G;NA;120;0,75;03/07/2024 09:30;10/10/2024 08:00;NA;NA
C05;B32;brebis;Viso;brebis;Merinos;G;NA;120;0,75;03/07/2024 09:30;10/10/2024 08:00;NA;NA
C18;B33;brebis;Viso;brebis;Merinos;G;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C30;B34;brebis;Viso;brebis;Merinos;G;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C31;B35;brebis;Viso;brebis;Merinos;G;NA;120;0,75;03/07/2024 09:30;20/08/2024 18:00;NA;NA
C33;B36;brebis;Viso;brebis;Merinos;G;NA;120;0,75;03/07/2024 09:30;21/09/2024 18:00;NA;NA
C35;B37;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C41;B38;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;21/09/2024 18:00;NA;NA
C43;B39;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C44;B40;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C52;B41;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C54;B42;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
C56;B43;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;06/08/2024 18:00;NA;NA
C57;B44;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
D01;B45;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
D02;B46;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
D04;B47;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;10/10/2024 18:00;NA;NA
D05;B48;brebis;Viso;brebis;Mourerous;PM;NA;120;0,75;03/07/2024 09:30;28/09/2024 18:00;NA;NA
